city,date,hour,temperature_c,pressure_mm,is_rain
Москва,2024-03-02,0,3,758,0
Москва,2024-03-02,1,2,758,0
Москва,2024-03-02,2,2,757,0
Москва,2024-03-02,3,3,758,0
Москва,2024-03-02,4,2,758,0
Москва,2024-03-02,5,1,758,0
Москва,2024-03-02,6,2,759,0
Москва,2024-03-02,7,2,758,0
Москва,2024-03-02,8,2,758,0
Москва,2024-03-02,9,2,758,0
Москва,2024-03-02,10,1,758,0
Москва,2024-03-02,11,1,758,0
Москва,2024-03-02,12,3,758,0
Москва,2024-03-02,13,1,758,0
Москва,2024-03-02,14,2,758,0
Москва,2024-03-02,15,4,758,0
Москва,2024-03-02,16,3,758,0
Москва,2024-03-02,17,3,758,0
Москва,2024-03-02,18,2,758,0
Москва,2024-03-02,19,1,758,0
Москва,2024-03-02,20,1,758,0
Москва,2024-03-02,21,1,758,0
Москва,2024-03-02,22,0,758,0
Москва,2024-03-02,23,-1,758,0
Москва,2024-03-03,0,-2,759,0
Москва,2024-03-03,1,-2,758,0
Москва,2024-03-03,2,-2,758,0
Москва,2024-03-03,3,-3,759,0
Москва,2024-03-03,4,-4,759,0
Москва,2024-03-03,5,-4,759,0
Москва,2024-03-03,6,-4,759,0
Москва,2024-03-03,7,-5,759,0
Москва,2024-03-03,8,-4,759,0
Москва,2024-03-03,9,-4,760,0
Москва,2024-03-03,10,-2,760,0
Москва,2024-03-03,11,-1,759,0
Москва,2024-03-03,12,1,760,0
Москва,2024-03-03,13,2,760,0
Москва,2024-03-03,14,3,759,0
Москва,2024-03-03,15,4,759,0
Москва,2024-03-03,16,5,759,0
Москва,2024-03-03,17,5,759,0
Москва,2024-03-03,18,4,759,0
Москва,2024-03-03,19,2,758,0
Москва,2024-03-03,20,1,758,0
Москва,2024-03-03,21,0,758,0
Москва,2024-03-03,22,-1,758,0
Москва,2024-03-03,23,-2,757,0
Москва,2024-03-04,0,-2,758,0
Москва,2024-03-04,1,-3,757,0
Москва,2024-03-04,2,-3,757,0
Москва,2024-03-04,3,-3,757,0
Москва,2024-03-04,4,-4,756,0
Москва,2024-03-04,5,-4,756,0
Москва,2024-03-04,6,-4,757,0
Москва,2024-03-04,7,-5,756,0
Москва,2024-03-04,8,-4,755,0
Москва,2024-03-04,9,-3,756,0
Москва,2024-03-04,10,-2,755,0
Москва,2024-03-04,11,-1,755,0
Москва,2024-03-04,12,0,755,0
Москва,2024-03-04,13,1,754,0
Москва,2024-03-04,14,2,754,0
Москва,2024-03-04,15,2,754,0
Москва,2024-03-04,16,2,753,0
Москва,2024-03-04,17,2,753,0
Москва,2024-03-04,18,1,753,0
Москва,2024-03-04,19,0,752,0
Москва,2024-03-04,20,0,752,0
Москва,2024-03-04,21,-1,752,0
Москва,2024-03-04,22,-1,751,0
Москва,2024-03-04,23,-2,751,0
Москва,2024-03-05,0,-2,752,0
Москва,2024-03-05,1,-2,751,0
Москва,2024-03-05,2,-3,751,0
Москва,2024-03-05,3,-3,751,0
Москва,2024-03-05,4,-4,750,0
Москва,2024-03-05,5,-4,750,0
Москва,2024-03-05,6,-4,751,0
Москва,2024-03-05,7,-4,750,0
Москва,2024-03-05,8,-4,750,0
Москва,2024-03-05,9,-3,751,0
Москва,2024-03-05,10,-2,750,0
Москва,2024-03-05,11,-1,750,0
Москва,2024-03-05,12,-1,751,0
Москва,2024-03-05,13,0,751,0
Москва,2024-03-05,14,0,750,0
Москва,2024-03-05,15,1,751,0
Москва,2024-03-05,16,0,750,0
Москва,2024-03-05,17,0,751,0
Москва,2024-03-05,18,0,751,0
Москва,2024-03-05,19,-1,751,0
Москва,2024-03-05,20,-1,752,0
Москва,2024-03-05,21,-1,752,0
Казань,2024-03-02,0,-5,765,0
Казань,2024-03-02,1,-5,765,0
Казань,2024-03-02,2,-6,765,0
Казань,2024-03-02,3,-2,766,0
Казань,2024-03-02,4,-6,765,0
Казань,2024-03-02,5,-5,766,0
Казань,2024-03-02,6,-6,766,0
Казань,2024-03-02,7,-7,766,0
Казань,2024-03-02,8,-5,766,0
Казань,2024-03-02,9,0,768,0
Казань,2024-03-02,10,-3,767,0
Казань,2024-03-02,11,-2,767,0
Казань,2024-03-02,12,2,768,0
Казань,2024-03-02,13,-1,767,0
Казань,2024-03-02,14,0,767,0
Казань,2024-03-02,15,1,768,0
Казань,2024-03-02,16,0,767,0
Казань,2024-03-02,17,-1,767,0
Казань,2024-03-02,18,-1,768,0
Казань,2024-03-02,19,-5,767,0
Казань,2024-03-02,20,-5,767,0
Казань,2024-03-02,21,-4,768,0
Казань,2024-03-02,22,-5,767,0
Казань,2024-03-02,23,-3,767,0
Казань,2024-03-03,0,-3,768,0
Казань,2024-03-03,1,-4,767,0
Казань,2024-03-03,2,-4,767,0
Казань,2024-03-03,3,-4,768,0
